Source,Target,buyercod,sellercod,desig2,desc,nrdel,buyer,seller,tivunit,tivorder,tivdel,longSource,latSource,longDest,latDest
9,42,URU,ARG,T-6 Texan,Trainer aircraft,2,Uruguay,Argentina,0.128,0.256,0.256,-63.616672,-38.416097,-55.765835,-32.522779
94,96,YUG,AST,FAMOS,Diesel engine,500,Yugoslavia,Austria,0.01,5.0,5.0,14.550072,47.516231,65.865034,-25.559085
15,44,IND,AUS,Canberra B-2,Bomber aircraft,10,India,Australia,3.4,34.0,34.0,133.775136,-25.274398,78.96288,20.593684
15,74,INS,AUS,Cessna-207,Light transport ac,5,Indonesia,Australia,0.096,0.48,0.48,133.775136,-25.274398,113.921327,-0.789275
1,2,BRA,CAN,DHC-5 Buffalo,Transport aircraft,6,Brazil,Canada,13.22,79.32,79.32,-106.346771,56.130366,-51.92528,-14.235004
1,2,BRA,CAN,DHC-5 Buffalo,Transport aircraft,18,Brazil,Canada,13.22,237.96,237.96,-106.346771,56.130366,-51.92528,-14.235004
1,23,FRG,CAN,CL-89,UAV,100,Germany,Canada,0.2,20.0,20.0,-106.346771,56.130366,10.451526,51.165691
1,93,MAL,CAN,DHC-4 Caribou,Transport aircraft,16,Malaysia,Canada,3.75,60.0,60.0,-106.346771,56.130366,101.975766,4.210484
1,31,OMA,CAN,DHC-4 Caribou,Transport aircraft,3,Oman,Canada,3.75,11.25,11.25,-106.346771,56.130366,55.923255,21.512583
1,4,PAN,CAN,DHC-6 Twin Otter,Transport aircraft,1,Panama,Canada,2.5,2.5,2.5,-106.346771,56.130366,-80.782127,8.537981
1,49,TUR,CAN,T-33A Shooting Star,Trainer aircraft,54,Turkey,Canada,1.0,54.0,54.0,-106.346771,56.130366,35.243322,38.963745
1,97,UGA,CAN,DHC-6 Twin Otter,Transport aircraft,1,Uganda,Canada,2.5,2.5,2.5,-106.346771,56.130366,32.290275,1.373333
1,78,USA,CAN,PT6,Turboprop/turboshaft,134,United States,Canada,0.6,80.4,80.4,-106.346771,56.130366,-95.712891,37.09024
69,40,ALB,CHI,D-20 152mm,Towed gun,90,Albania,China,0.5,45.0,45.0,104.195397,35.86166,20.168331,41.153332
69,40,ALB,CHI,F-7A/J-7,Fighter aircraft,12,Albania,China,9.0,108.0,108.0,104.195397,35.86166,20.168331,41.153332
69,40,ALB,CHI,Mi-4A,Helicopter,37,Albania,China,1.88,69.56,69.56,104.195397,35.86166,20.168331,41.153332
69,40,ALB,CHI,PL-2,SRAAM,450,Albania,China,0.04,18.0,18.0,104.195397,35.86166,20.168331,41.153332
69,40,ALB,CHI,Type-025/Huchuan,FAC,32,Albania,China,12.0,384.0,384.0,104.195397,35.86166,20.168331,41.153332
69,40,ALB,CHI,Type-59,Tank,721,Albania,China,0.9,648.9,648.9,104.195397,35.86166,20.168331,41.153332
69,40,ALB,CHI,Type-63 107mm,Towed MRL,270,Albania,China,0.05,13.5,13.5,104.195397,35.86166,20.168331,41.153332
69,85,KON,CHI,An-2,Light transport ac,100,North Korea,China,1.0,100.0,100.0,104.195397,35.86166,127.510093,40.339852
69,85,KON,CHI,HY-1 CDS,Coast defence system,6,North Korea,China,15.0,90.0,90.0,104.195397,35.86166,127.510093,40.339852
69,85,KON,CHI,HY-1/SY-1/CSS-N-1,Anti-ship missile,100,North Korea,China,0.6,60.0,60.0,104.195397,35.86166,127.510093,40.339852
69,85,KON,CHI,Type-062/Shanghai,Patrol craft,23,North Korea,China,9.0,207.0,207.0,104.195397,35.86166,127.510093,40.339852
69,85,KON,CHI,Type-63 107mm,Towed MRL,4000,North Korea,China,0.05,200.0,200.0,104.195397,35.86166,127.510093,40.339852
69,39,PAK,CHI,M-30 122mm,Towed gun,400,Pakistan,China,0.45,180.0,180.0,104.195397,35.86166,69.345116,30.375321
69,39,PAK,CHI,Type-59,Tank,550,Pakistan,China,0.9,495.0,495.0,104.195397,35.86166,69.345116,30.375321
69,39,PAK,CHI,Type-63,Light tank,50,Pakistan,China,1.0,50.0,50.0,104.195397,35.86166,69.345116,30.375321
69,53,SUD,CHI,FT-5/JJ-5,Trainer aircraft,10,Sudan,China,3.75,37.5,37.5,104.195397,35.86166,30.217636,12.862807
69,53,SUD,CHI,MiG-17PF,Fighter aircraft,16,Sudan,China,4.0,64.0,64.0,104.195397,35.86166,30.217636,12.862807
69,72,TAN,CHI,Type-62,Light tank,30,Tanzania,China,1.0,30.0,30.0,104.195397,35.86166,34.888822,-6.369028
69,80,VN,CHI,F-6/J-6,Fighter aircraft,30,Vietnam,China,5.0,150.0,150.0,104.195397,35.86166,108.277199,14.058324
69,80,VN,CHI,MiG-17,Fighter aircraft,20,Vietnam,China,1.4,28.0,28.0,104.195397,35.86166,108.277199,14.058324
69,80,VN,CHI,Slot Rest,Air search radar,30,Vietnam,China,7.15,214.5,214.5,104.195397,35.86166,108.277199,14.058324
69,80,VN,CHI,Type-59,Tank,350,Vietnam,China,0.9,315.0,315.0,104.195397,35.86166,108.277199,14.058324
69,80,VN,CHI,Type-62,Light tank,250,Vietnam,China,1.0,250.0,250.0,104.195397,35.86166,108.277199,14.058324
69,80,VN,CHI,Type-63,Light tank,150,Vietnam,China,1.0,150.0,150.0,104.195397,35.86166,108.277199,14.058324
67,84,BUL,CZE,L-29 Delfin,Trainer aircraft,102,Bulgaria,Czechoslovakia,1.0,102.0,102.0,-12.843791,-24.545272,25.48583,42.733883
67,90,EGY,CZE,L-29 Delfin,Trainer aircraft,120,Egypt,Czechoslovakia,1.0,120.0,120.0,-12.843791,-24.545272,30.802498,26.820553
67,90,EGY,CZE,OT-64C,APC,200,Egypt,Czechoslovakia,0.22,44.0,44.0,-12.843791,-24.545272,30.802498,26.820553
67,23,GDR,CZE,OT-62A TOPAS,APC,10,Germany,Czechoslovakia,0.27,2.7,2.7,-12.843791,-24.545272,10.451526,51.165691
67,44,IND,CZE,OT-62A TOPAS,APC,300,India,Czechoslovakia,0.27,81.0,81.0,-12.843791,-24.545272,78.96288,20.593684
67,75,LYA,CZE,M-53/59 Praga,SPAAG,110,Libya,Czechoslovakia,0.65,71.5,71.5,-12.843791,-24.545272,17.228331,26.3351
67,33,MOR,CZE,OT-64C,APC,95,Morocco,Czechoslovakia,0.22,20.9,20.9,-12.843791,-24.545272,-7.09262,31.791702
67,32,POL,CZE,Tatra-928,Diesel engine,1000,Poland,Czechoslovakia,0.02,20.0,20.0,-12.843791,-24.545272,19.145136,51.919438
67,86,ROM,CZE,L-29 Delfin,Trainer aircraft,52,Romania,Czechoslovakia,1.0,52.0,52.0,-12.843791,-24.545272,24.96676,45.943161
67,53,SUD,CZE,OT-64C,APC,40,Sudan,Czechoslovakia,0.22,8.8,8.8,-12.843791,-24.545272,30.217636,12.862807
67,82,SYR,CZE,L-29 Delfin,Trainer aircraft,77,Syria,Czechoslovakia,1.0,77.0,77.0,-12.843791,-24.545272,38.996815,34.802075
67,35,USR,CZE,L-29 Delfin,Trainer aircraft,2500,Soviet Union,Czechoslovakia,1.0,2500.0,2500.0,-12.843791,-24.545272,65.865034,-25.559085
67,80,VN,CZE,L-29 Delfin,Trainer aircraft,12,Vietnam,Czechoslovakia,1.0,12.0,12.0,-12.843791,-24.545272,108.277199,14.058324
67,96,YUG,CZE,M-53/59 Praga,SPAAG,789,Yugoslavia,Czechoslovakia,0.65,512.85,512.85,-12.843791,-24.545272,65.865034,-25.559085
90,75,LYA,EGY,T-34-85,Tank,65,Libya,Egypt,0.38,24.7,24.7,30.802498,26.820553,17.228331,26.3351
90,60,NIG,EGY,MiG-17,Fighter aircraft,31,Nigeria,Egypt,1.4,43.4,43.4,30.802498,26.820553,8.675277,9.081999
76,64,ISR,FIN,M-58 160mm,Mortar,50,Israel,Finland,0.15,7.5,7.5,25.748151,61.92411,34.851612,31.046051
76,64,ISR,FIN,M-73 120mm,Mortar,100,Israel,Finland,0.05,5.0,5.0,25.748151,61.92411,34.851612,31.046051
56,17,ALG,FRA,CM-170 Magister,Trainer aircraft,28,Algeria,France,1.0,28.0,28.0,2.213749,46.227638,1.659626,28.033886
56,9,ARG,FRA,AML-60/90,Armoured car,50,Argentina,France,0.35,17.5,17.5,2.213749,46.227638,-63.616672,-38.416097
56,9,ARG,FRA,AMX-13/75,Light tank,58,Argentina,France,0.9,52.2,52.2,2.213749,46.227638,-63.616672,-38.416097
56,9,ARG,FRA,AMX-13-PDP,ABL,2,Argentina,France,0.6,1.2,1.2,2.213749,46.227638,-63.616672,-38.416097
56,9,ARG,FRA,AMX-VCI,APC,180,Argentina,France,0.25,45.0,45.0,2.213749,46.227638,-63.616672,-38.416097
56,94,AST,FRA,Aubisque,Turbofan,80,Austria,France,0.5,40.0,40.0,2.213749,46.227638,14.550072,47.516231
