id,label,Lat,Lon
1,Canada,56.130366,-106.346771
2,Turkmenistan,38.969719,59.556278
4,Ireland,53.41291,-8.24389
5,Lithuania,55.169438,23.881275
6,Ethiopia,9.145,40.489673
7,Argentina,-38.416097,-63.616672
8,Bolivia,-16.290154,-63.588653
9,Cameroon,7.369722,12.354722
10,Burkina Faso,12.238333,-1.561593
11,Ghana,7.946527,-1.023194
12,Saudi Arabia,23.885942,45.079162
13,Kuwait,29.31166,47.481766
14,Germany,51.165691,10.451526
15,UAE,23.4241,53.8478
16,Spain,40.463667,-3.74922
17,Netherlands,52.132633,5.291266
19,Oman,21.512583,55.923255
20,Tanzania,-6.369028,34.888822
21,New Zealand,-40.900557,174.885971
22,Pakistan,30.375321,69.345116
23,Albania,41.153332,20.168331
24,India,20.593684,78.96288
25,Azerbaijan,40.143105,47.576927
26,Lesotho,-29.609988,28.233608
27,Kenya,-0.023559,37.906193
28,South Korea,35.907757,127.766922
29,Turkey,38.963745,35.243322
30,Afghanistan,33.93911,67.709953
31,Czech Republic,49.817492,15.472962
33,France,46.227638,2.213749
34,Slovakia,48.669026,19.699024
35,Somalia,5.152149,46.199616
36,Peru,-9.189967,-75.015152
37,Laos,19.85627,102.495496
38,Norway,60.472024,8.468946
40,Singapore,1.352083,103.819836
41,Montenegro,42.708678,19.37439
42,China,35.86166,104.195397
43,Armenia,40.069099,45.038189
44,Dominican Republic,18.735693,-70.162651
45,Ukraine,48.379433,31.16558
46,Bahrain,25.930414,50.637772
47,Finland,61.92411,25.748151
48,Libya,26.3351,17.228331
49,Indonesia,-0.789275,113.921327
50,United States,37.09024,-95.712891
51,Sweden,60.128161,18.643501
52,Australia,-25.274398,133.775136
53,Mali,17.570692,-3.996166
54,Russia,61.52401,105.318756
55,Mauritius,-20.348404,57.552152
56,Romania,45.943161,24.96676
57,Angola,-11.202692,17.873887
58,Portugal,39.399872,-8.224454
59,South Africa,-30.559482,22.937506
60,Malaysia,4.210484,101.975766
61,Austria,47.516231,14.550072
62,Uganda,1.373333,32.290275
63,Japan,36.204824,138.252924
64,Brazil,-14.235004,-51.92528
66,Panama,8.537981,-80.782127
67,Qatar,25.354826,51.183884
68,Luxembourg,49.815273,6.129583
69,Bahamas,25.03428,-77.39628
70,Ivory Coast,7.539989,-5.54708
71,Nigeria,9.081999,8.675277
72,Ecuador,-1.831239,-78.183406
73,Bangladesh,23.684994,90.356331
74,Belarus,53.709807,27.953389
75,Iran,32.427908,53.688046
76,Algeria,28.033886,1.659626
77,Chile,-35.675147,-71.542969
78,Belgium,50.503887,4.469936
79,Thailand,15.870032,100.992541
80,Iraq,33.223191,43.679291
81,Georgia,42.315407,43.356892
82,Denmark,56.26392,9.501785
83,Poland,51.919438,19.145136
84,Morocco,31.791702,-7.09262
85,Croatia,45.1,15.2
86,Switzerland,46.818188,8.227512
87,Seychelles,-4.679574,55.491977
88,Chad,15.454166,18.732207
89,Estonia,58.595272,25.013607
90,Uruguay,-32.522779,-55.765835
91,Mexico,23.634501,-102.552784
92,Lebanon,33.854721,35.862285
93,Uzbekistan,41.377491,64.585262
94,Egypt,26.820553,30.802498
95,Colombia,4.570868,-74.297333
96,Taiwan,23.69781,120.960515
97,Cyprus,35.126413,33.429859
100,Italy,41.87194,12.56738
101,Sudan,12.862807,30.217636
102,Nepal,28.394857,84.124008
103,Malta,35.937496,14.375416
105,Venezuela,6.42375,-66.58973
106,Israel,31.046051,34.851612
107,Zambia,-13.133897,27.849332
108,Senegal,14.497401,-14.452362
109,Papua New Guinea,-6.314993,143.95555
110,Jordan,30.585164,36.238414
111,Kazakhstan,48.019573,66.923684
112,Philippines,12.879721,121.774017
113,Kyrgyzstan,41.20438,74.766098
114,Latvia,56.879635,24.603189
115,Hungary,47.162494,19.503304
116,Syria,34.802075,38.996815
117,Honduras,15.199999,-86.241905
119,Equatorial Guinea,1.650801,10.267895
120,Tunisia,33.886917,9.537499
121,Serbia,44.016521,21.005859
122,United Kingdom,55.378051,-3.435973
123,Greece,39.074208,21.824312
124,Sri Lanka,7.873054,80.771797
125,Namibia,-22.95764,18.49041
126,Botswana,-22.328474,24.684866
