id,label
1,Canada
2,Ethiopia
3,Ireland
4,Argentina
5,Saudi Arabia
6,Australia
7,Iran
8,El Salvador
9,Chile
10,Belgium
11,Germany
12,Haiti
13,Spain
14,Netherlands
15,Denmark
16,Poland
17,Thailand
18,Switzerland
19,New Zealand
20,Yemen
21,Pakistan
22,Albania
23,Portugal
24,Uruguay
25,India
26,Colombia
27,South Korea
28,Turkey
29,Unknown supplier(s)
30,Italy
31,Lebanon
32,France
33,Peru
34,Norway
35,Israel
36,Venezuela
37,Czechoslovakia
38,Zimbabwe
39,Jordan
40,Dominican Republic
41,Indonesia
42,United States
43,Sri Lanka
44,Sweden
45,Syria
46,Russia
47,Bulgaria
48,North Korea
49,Romania
50,Myanmar
51,South Africa
52,Egypt
53,United Kingdom
54,China
55,Greece
56,Paraguay
57,Hungary
